category,parent,value
Origin,,
Abstract Strategy,Origin,9126
Action / Dexterity,Origin,5770
Adventure,Origin,5728
Age of Reason,Origin,588
American Civil War,Origin,850
American Indian Wars,Origin,224
American Revolutionary War,Origin,326
American West,Origin,1138
Ancient,Origin,2648
Animals,Origin,6322
Arabian,Origin,268
Aviation / Flight,Origin,1830
Bluffing,Origin,4216
Book,Origin,3620
Card Game,Origin,30900
Children's Game,Origin,13727
City Building,Origin,1736
Civil War,Origin,489
Civilization,Origin,1256
Collectible Components,Origin,2245
Comic Book / Strip,Origin,1895
Deduction,Origin,4128
Dice,Origin,10986
Economic,Origin,7216
Educational,Origin,8150
Electronic,Origin,986
Environmental,Origin,1114
Expansion for Base-game,Origin,22165
Exploration,Origin,3423
Fan Expansion,Origin,435
Fantasy,Origin,13676
Farming,Origin,1026
Fighting,Origin,9090
Game System,Origin,240
Horror,Origin,3418
Humor,Origin,5977
Industry / Manufacturing,Origin,1026
Korean War,Origin,130
Mafia,Origin,535
Math,Origin,1704
Mature / Adult,Origin,1385
Maze,Origin,758
Medical,Origin,382
Medieval,Origin,4312
Memory,Origin,3450
Miniatures,Origin,12511
Modern Warfare,Origin,1856
Movies / Tv / Radio Theme,Origin,6920
Murder/Mystery,Origin,1447
Music,Origin,799
Mythology,Origin,1561
Napoleonic,Origin,1292
Nautical,Origin,2890
Negotiation,Origin,3755
Novel-based,Origin,2494
Number,Origin,1193
Party Game,Origin,10186
Pike and Shot,Origin,356
Pirates,Origin,1301
Political,Origin,2108
Post-Napoleonic,Origin,724
Prehistoric,Origin,600
Print & Play,Origin,6809
Puzzle,Origin,2537
Racing,Origin,4785
Real-time,Origin,2426
Religious,Origin,1037
Renaissance,Origin,842
Science Fiction,Origin,9690
Space Exploration,Origin,1453
Spies/Secret Agents,Origin,852
Sports,Origin,5420
Territory Building,Origin,1759
Trains,Origin,1344
Transportation,Origin,1654
Travel,Origin,1833
Trivia,Origin,6704
Video Game Theme,Origin,1438
Vietnam War,Origin,283
Wargame,Origin,19899
Word Game,Origin,3540
World War I,Origin,1039
World War II,Origin,6219
Zombies,Origin,1249
